New/Used,Stock #,Vehicle,Year,Make,Model,Body,"Drivetrain
 Type",Color,Odometer,Price,Age,VIN,Tags,Status
U,STKU95732,2019 BMW 8 Series M850i xDrive,2019,BMW,8 Series,2D Coupe,AWD,Carbon Black Metallic,"47,496","$44,975",21,WBABC4C5XKBU95732,No-Title,
U,T7744PA,2015 BMW X3 xDrive28d Diesel,2015,BMW,X3,4D Sport Utility,AWD,Brown Metallic,"138,972","$10,782",41,5UXWY3C59F0E96342,service,
U,T7764P,2019 Buick Encore Preferred,2019,Buick,Encore,4D Sport Utility,FWD,Black,"50,563","$13,818",132,KL4CJASB0KB712928,,
U,T7754P,2022 Chevrolet Equinox LT,2022,Chevrolet,Equinox,4D Sport Utility,AWD,Silver,"52,229","$19,614",148,3GNAXUEV4NL259765,,
U,7765P,2022 Chevrolet Malibu LT,2022,Chevrolet,Malibu,4D Sedan,FWD,Black,"51,124","$16,124",127,1G1ZD5ST9NF104435,,
U,T7806P,2015 Chevrolet Traverse LS,2015,Chevrolet,Traverse,4D Sport Utility,FWD,Blue Velvet Metallic,"80,449","$8,964",57,1GNKRFED9FJ374307,,
N,250772,2025 Ford Bronco Badlands,2025,Ford,Bronco,4D Sport Utility,4WD,Ruby Red Metallic Tinted Clearcoat,7,"$59,792",1,1FMEE9BP0SLB39516,,
N,250740,2025 Ford Bronco Big Bend,2025,Ford,Bronco,4D Sport Utility,4WD,Ruby Red Metallic Tinted Clearcoat,5,"$47,190",6,1FMDE7BH0SLB18674,,
N,250771,2025 Ford Bronco Big Bend,2025,Ford,Bronco,4D Sport Utility,4WD,Marsh Gray,8,"$45,240",1,1FMDE7BH8SLB37165,,
N,250502,2025 Ford Bronco Outer Banks,2025,Ford,Bronco,4D Sport Utility,4WD,Shadow Black,15,"$49,515",73,1FMDE8BH7SLA84822,,
N,230928,2023 Ford Bronco Raptor,2023,Ford,Bronco,4D Sport Utility,4WD,Shadow Black,56,"$84,939",659,1FMEE5JR3PLB90317,,
N,250641,2025 Ford Bronco Sport Badlands,2025,Ford,Bronco Sport,4D Sport Utility,4WD,Carbonized Gray Metallic,13,"$40,834",30,3FMCR9DA0SRF22264,,
U,T7788P,2021 Ford Bronco Sport Big Bend,2021,Ford,Bronco Sport,4D Sport Utility,4WD,Cactus,"56,640","$21,294",83,3FMCR9B66MRA10137,,
U,T7824P,2023 Ford Bronco Sport Big Bend,2023,Ford,Bronco Sport,4D Sport Utility,4WD,Shadow Black,"29,238",,2,3FMCR9B67PRD86799,"Detail,No-Title,Service,photos",
U,T7795P,2020 Ford EcoSport SE,2020,Ford,EcoSport,4D Sport Utility,FWD,Canyon Ridge,"59,541","$12,380",77,MAJ3S2GE8LC348979,,
U,T7817P,2019 Ford Edge Titanium,2019,Ford,Edge,4D Sport Utility,AWD,White Platinum,"34,187","$20,920",35,2FMPK4K96KBB46041,,
U,T250663A,2015 Ford Escape SE,2015,Ford,Escape,4D Sport Utility,FWD,Oxford White,"61,008","$10,729",43,1FMCU0G7XFUC34048,romero,
U,T7813P,2022 Ford Escape SE,2022,Ford,Escape,4D Sport Utility,AWD,Gray Metallic,"11,130","$21,945",44,1FMCU9G67NUB25217,,
U,T7826P,2022 Ford Escape SE,2022,Ford,Escape,4D Sport Utility,AWD,Stone Blue Metallic,"12,566",,0,1FMCU9G66NUB79236,"Bodyshop,Detail,No-Title,Photos,Service",
U,T7811P,2022 Ford Escape SE,2022,Ford,Escape,4D Sport Utility,AWD,Agate Black Metallic,"15,429","$21,695",48,1FMCU9G61NUB47942,,
U,T7767P,2019 Ford Escape SEL,2019,Ford,Escape,4D Sport Utility,FWD,Lightning Blue,"102,889","$12,573",126,1FMCU0HD3KUA98229,jose,
U,T7751P,2020 Ford Escape SEL,2020,Ford,Escape,4D Sport Utility,AWD,Agate Black Metallic,"41,238","$17,667",150,1FMCU9H62LUC64909,,
N,250330,2025 Ford Escape ST-Line,2025,Ford,Escape,4D Sport Utility,AWD,Agate Black Metallic,3,"$34,457",195,1FMCU9MN7SUA78827,,
N,250310,2025 Ford Escape ST-Line,2025,Ford,Escape,4D Sport Utility,AWD,Agate Black Metallic,3,"$33,026",204,1FMCU9MN0SUA76465,,
